pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,y_ground_truth,Neural_Net_gear,Random_Forest_gear,y_ground_truth.1,Neural_Net_plate,Random_Forest_plate
-19.65729355,231.73965562999996,386.78,22800.0,1.7315765000000027,5.559250000000162,0.0,5.002249999999542,-1.6117499999950269,0.0,0.0,-0.8415527,-5.93671875,-0.3510742499999998,-1.37668942,224.59268361970027,53.2819640038626,72.15321233852792,231.24143730076312,357.9120000000024,-0.8415527,0.1372119188308715,0.347413086,-0.8415527,-0.7163954973220825,-0.7620092695999999
-19.62044391,231.85009371,386.78,22800.0,1.8424820000000075,5.521904000000006,0.0,5.545275000000238,-1.8673000000077877,0.0,0.0,-0.8485351300000001,-5.92915037,-0.3463379199999998,-1.3770995899999998,225.56197519196263,48.74451033149499,72.15305374060749,231.24113504385204,357.9120000000054,-0.8485351300000001,0.1372011750936508,0.347413086,-0.8485351300000001,-0.7289983630180359,-0.7762177645999999
-19.581205660000002,231.95968774000002,386.78,22800.0,1.9619125000000004,5.479701499999976,0.0,5.9715249999996445,-2.110125000001517,0.0,0.0,-0.85205076,-5.92534178,-0.34868165999999984,-1.37135741,226.53731577723616,43.81823075274098,72.15294428847082,231.24092645391812,357.7920000000042,-0.85205076,0.1366670578718185,0.347413086,-0.85205076,-0.7402409911155701,-0.8257617071999999
-19.539480689999998,232.06835286,386.78,22800.0,2.086248500000014,5.4332560000000285,0.0,6.216800000000688,-2.3222749999973757,0.0,0.0,-0.8513183400000001,-5.93027343,-0.3524902499999998,-1.36566651,227.46581601962666,38.63906202780817,72.15294059127983,231.2409194083199,357.8880000000063,-0.8513183400000001,0.1362826377153396,0.347413086,-0.8513183400000001,-0.748840868473053,-0.8610497868000001
-19.49524155,232.17601807,386.78,22800.0,2.211957000000009,5.383260499999807,0.0,6.285424999999734,-2.499775000011084,0.0,0.0,-0.85224607,-5.92187499,-0.3499023699999998,-1.36766603,228.3005472852305,33.34139518881024,72.15297261829059,231.24098043948123,357.67200000000594,-0.85224607,0.1361749023199081,0.347413086,-0.85224607,-0.7551299333572388,-0.8752055458000001
-19.448503359999997,232.28262216999997,386.78,22800.0,2.3369094999999973,5.330204999999921,0.0,6.247624999999424,-2.6527749999942785,0.0,0.0,-0.85092771,-5.89448242,-0.3462890899999998,-1.3699219,229.01602169506583,28.007613463024956,72.15297202790595,231.24097931441776,357.7920000000042,-0.85092771,0.1360807865858078,0.347413086,-0.85092771,-0.7624118328094482,-0.8761850370000002
-19.39929132,232.38810712000003,386.78,22800.0,2.460602000000005,5.274247500000229,0.0,6.184625000000388,-2.7978749999846286,0.0,0.0,-0.8426269200000001,-5.90009768,-0.35000003999999985,-1.36751224,229.60701206359903,22.658196947507026,72.15297601515582,231.24098691275185,357.81600000000327,-0.8426269200000001,0.1360228061676025,0.347413086,-0.8426269200000001,-0.7702430486679077,-0.8770478273
-19.34763225,232.49241548,386.78,22800.0,2.5829535000000092,5.215417999999801,0.0,6.117575000000208,-2.9414750000213985,0.0,0.0,-0.83374021,-5.90781253,-0.3529297399999998,-1.36761478,230.07303646564492,17.296441563576007,72.15297217423537,231.24097959329802,357.7680000000022,-0.83374021,0.1356327384710312,0.347413086,-0.83374021,-0.7778028845787048,-0.8739989972
-19.293554269999998,232.59549051999997,386.78,22800.0,2.703899000000014,5.153752000000225,0.0,6.047275000000241,-3.0832999999788058,0.0,0.0,-0.82846679,-5.89580082,-0.34877932999999983,-1.3706397,230.41387493106635,11.925335295223375,72.1529712855706,231.24097789981093,357.6960000000021,-0.82846679,0.1352087557315826,0.347413086,-0.82846679,-0.7845353484153748,-0.8659921616
-19.23708676,232.69727613999999,386.78,22800.0,2.823375499999976,5.089281000000057,0.0,5.973824999998101,-3.2235500000084016,0.0,0.0,-0.8348632800000001,-5.89023441,-0.34667972999999985,-1.36894781,230.62934643659014,6.547648838406518,72.15297152103105,231.24097834851608,357.7920000000013,-0.8348632800000001,0.1348811388015747,0.347413086,-0.8348632800000001,-0.7902292013168335,-0.8731801517
